personal,Personal,Персонал,Personnel,persönlich,Personal,Personale
hirepersonal,Hire personal,Нанять работников,Embaucher personnel,Personal einstellen,Contratar personal,Noleggio personale
project,New project,Новый проект,Nouveau projet,Neues Projekt,Nuevo proyecto,Nuovo progetto
shop,Shop,Магазин,Boutique,Einkaufen,Tienda,Negozio
statistics,Statistics,Статистика,Statistiques,Statistiken,Estadísticas,Statistiche
offices,Offices,Офисы,Des bureaux,Büros,Oficinas,Uffici
mail,Mail,Почта,Courrier,Mail,Correo,posta
sort.name,Name,Имя,Nom,Name,Nombre,Nome
month.1,January,Январь,janvier,Januar,enero,gennaio
month.2,February,Февраль,février,Februar,febrero,febbraio
month.3,March,Март,Mars,März,marcha,marzo
month.4,April,Апрель,avril,April,abril,aprile
month.5,May,Май,Le Mai,Mai,Mayo,Maggio
month.6,June,Июнь,juin,Juni,junio,giugno
month.7,July,Июль,juillet,Juli,julio,luglio
month.8,August,Август,août,August,agosto,agosto
month.9,September,Сентябрь,septembre,September,septiembre,settembre
month.10,October,Октябрь,octobre,Oktober,octubre,ottobre
month.11,November,Ноябрь,novembre,November,noviembre,novembre
month.12,December,Декабрь,décembre,Dezember,diciembre,dicembre
proffesion,Profession,Профессия,Profession,Beruf,Profesión,Professione
proffesion.0,Programmer,Программист,Programmeur,Programmierer,Programador,Programmatore
proffesion.1,Game designer,Гейм дизайнер,Designer de jeu,Spieledesigner,Diseñador de juegos,Designer di giochi
proffesion.2,Art designer,Художник,Concepteur d'art,Kunstdesigner,Diseñador de arte,Designer d'arte
proffesion.3,Sound designer,Звукорежиссер,Sonneur,Sounddesigner,Diseñador de sonido,Sound Designer
proffesion.4,Screenwriter,Сценарист,Scénariste,Drehbuchautor,Guionista,Sceneggiatore
skill.0,Programming,Программирование,La programmation,Programmierung,Programación,Programmazione
skill.1,Game design,Игровой дизайн,Le design du jeu,Spieldesign,Diseño de juego,Design del gioco
skill.2,Art design,Арт дизайн,Conception d'art,Kunstdesign,Diseño artístico,Design artistico
skill.3,Sound design,Звуковой дизайн,Conception sonore,Audiogestaltung,Diseño de sonido,Design del suono
skill.4,Screenwriting,Сценарий,Scénarisation,Drehbuch,Escritura de guiones,Sceneggiatura
salary,Salary,Зарплата,Salaire,Gehalt,Salario,Stipendio
personaTab.0,Employees by profession,Сотрудники по профессии,Employés par profession,Mitarbeiter nach Beruf,Empleados por profesión,Dipendenti di professione
personaTab.1,Average skills,Средние навыки,Compétences moyennes,Durchschnittliche Fähigkeiten,Habilidades promedio,Abilità medie
personaTab.2,Total skills,Общие навыки,Compétences totales,Gesamtfähigkeiten,Total de habilidades,Abilità totali
all,All,Все,Tous,Alle,Todo,Tutto
applications,Applications,Заявления,Applications,Anwendungen,Aplicaciones,Applicazioni
shp.0,Aquarium,Аквариум,Aquarium,Aquarium,Acuario,Acquario
shp.1,Arcade machine,Аркадная машина,Arcade,Arcade-Maschine,Máquina arcade,Macchina arcade
shp.2,Billiards,Бильярд,Billard,Billard,Billar,Biliardo
shp.3,Bin,Корзина,Poubelle,Behälter,Papelera,Bidone
shp.4,Black armchair,Черное кресло,Fauteuil noir,Schwarzer Sessel,Sillón negro,Poltrona nera
shp.5,Black couch,Черный диван,Canapé noir,Schwarze Couch,Sofá negro,Divano nero
shp.6,White armchair,Белое кресло,Fauteuil blanc,Weißer Sessel,Sillón blanco,Poltrona bianca
shp.7,White couch,Белый диван,Canapé blanc,Weiße Couch,Sofá blanco,Divano bianco
shp.8,Big couch,Большой диван,Grand canapé,Große Couch,Sofá grande,Grande divano
shp.9,Cupboard,Шкаф,Placard métallique,Schrank,Armario,Armadio
shp.10,Metal cupboard,Металлический шкаф,Placard métallique,Metallschrank,Armario de metal,Armadio di metallo
shp.11,Mini football,Мини футбол,Mini football,Mini -Fußball,Mini fútbol,Mini calcio
shp.12,Fridge,Холодильник,Réfrigérateur,Kühlschrank,Refrigerador,Frigo
shp.13,Minigolf,Мини гольф,Mini golf,Minigolf,Mini golf,Mini golf
shp.14,Small plant,Небольшое растение,Petite plante,Kleine Pflanze,Planta pequeña,Piccola pianta
shp.15,Big plant,Большое растение,Grande plante,Große Pflanze,Gran planta,Grande pianta
